datetime,instrument,score
2019-01-03,SH600535,0.26216716
2019-01-03,SZ000630,0.13747558
2019-01-03,SH600340,0.3100949
2019-01-03,SH600066,0.5181718
2019-01-03,SZ000983,0.59754086
2019-01-03,SZ002594,0.049367607
2019-01-03,SZ002466,0.1439077
2019-01-03,SZ001979,0.19285312
2019-01-03,SH600100,0.26648238
2019-01-03,SH600068,0.2534278
2019-01-03,SZ000157,0.1239876
2019-01-03,SH601600,0.15822828
2019-01-03,SZ000898,0.44243348
2019-01-03,SH601006,0.13095407
2019-01-03,SZ002456,0.51617116
2019-01-03,SH600050,0.016566485
2019-01-03,SH603288,0.20535712
2019-01-03,SZ002558,0.5270997
2019-01-03,SZ300024,0.4491508
2019-01-03,SH600566,0.4924813
2019-01-03,SZ000413,0.4114207
2019-01-03,SH600886,0.15222505
2019-01-03,SH601991,0.50737596
2019-01-03,SH600518,0.12373838
2019-01-03,SZ300070,0.085936755
2019-01-03,SH600369,0.07194827
2019-01-03,SH600352,0.26324666
2019-01-03,SH600583,0.13855316
2019-01-03,SZ000961,0.18509631
2019-01-03,SZ002601,0.39734745
2019-01-03,SH601727,-0.07890485
2019-01-03,SZ300015,0.21393952
2019-01-03,SH600660,0.19375429
2019-01-03,SZ000725,0.14363316
2019-01-03,SH603260,0.18098973
2019-01-03,SH600606,0.3187806
2019-01-03,SH603799,0.35122794
2019-01-03,SH601828,0.15153456
2019-01-03,SZ300122,0.30827203
2019-01-03,SH600887,0.59630114
2019-01-03,SH600398,0.12367432
2019-01-03,SH600111,-0.14190628
2019-01-03,SH601808,0.072518095
2019-01-03,SZ000786,0.37613484
2019-01-03,SZ300072,0.17059028
2019-01-03,SH601898,0.048602305
2019-01-03,SH600309,-0.2078042
2019-01-03,SH600516,0.4207127
2019-01-03,SZ000709,0.10963047
2019-01-03,SZ002460,-0.016579203
2019-01-03,SZ001965,0.007717639
2019-01-03,SZ002508,0.25813955
2019-01-03,SZ000069,0.47317624
2019-01-03,SH600170,-0.06039558
2019-01-03,SZ002027,0.2823197
2019-01-03,SZ000425,0.24769247
2019-01-03,SH600019,0.06701236
2019-01-03,SZ000776,0.08239763
2019-01-03,SH603858,0.17727455
2019-01-03,SH600705,-0.090160936
2019-01-03,SH601018,0.30776224
2019-01-03,SH600031,0.28449133
2019-01-03,SH600436,0.062216908
2019-01-03,SZ000826,0.3822508
2019-01-03,SH601186,0.07779236
2019-01-03,SH601800,0.16079356
2019-01-03,SH601066,-0.30780563
2019-01-03,SZ000959,0.2825133
2019-01-03,SH601138,0.14084016
